Location,Latitude,Longitude,SeverityScore,IncidentsTotal
POINT(-79.34947 43.76654),43.767,-79.349,0.006,28
POINT(-79.48218 43.72656),43.727,-79.482,0.022,56
POINT(-79.54297 43.7121),43.712,-79.543,0.005,35
POINT(-79.51331 43.69914),43.699,-79.513,0.178,68
POINT(-79.4657 43.76333),43.763,-79.466,0.032,30
POINT(-79.50151 43.66482),43.665,-79.502,0.158,161
POINT(-79.38223 43.64087),43.641,-79.382,0.014,97
POINT(-79.35074 43.64953),43.65,-79.351,0.083,212
POINT(-79.34672 43.76713),43.767,-79.347,0.003,35
POINT(-79.29995 43.82538),43.825,-79.3,0.09,70
POINT(-79.46463 43.66568),43.666,-79.465,0.022,40
POINT(-79.30662 43.79905),43.799,-79.307,0.007,3
POINT(-79.61248 43.75302),43.753,-79.612,0.008,3
POINT(-79.55146 43.70826),43.708,-79.551,0.005,3
POINT(-79.46523 43.66749),43.667,-79.465,0.005,3
POINT(-79.47926 43.71449),43.714,-79.479,0.004,3
POINT(-79.34922 43.65034),43.65,-79.349,0.001,3
POINT(-79.34453 43.81479),43.815,-79.345,0.012,3
POINT(-79.52132 43.77316),43.773,-79.521,0.004,3
POINT(-79.40311 43.69066),43.691,-79.403,0.002,3
POINT(-79.14166 43.79929),43.799,-79.142,0,3
POINT(-79.36099 43.68545),43.685,-79.361,0.001,3
POINT(-79.385 43.67233),43.672,-79.385,0.004,3
POINT(-79.56049 43.735),43.735,-79.56,0.007,3
POINT(-79.29076 43.76191),43.762,-79.291,0.004,3
POINT(-79.34045 43.65807),43.658,-79.34,0.004,3
POINT(-79.55701 43.76301),43.763,-79.557,0.006,3
POINT(-79.42678 43.71994),43.72,-79.427,0.009,3
POINT(-79.31568 43.66444),43.664,-79.316,0.028,4
POINT(-79.47737 43.76169),43.762,-79.477,0.012,4
POINT(-79.52513 43.75637),43.756,-79.525,0.004,4
POINT(-79.43582 43.66024),43.66,-79.436,0.005,4
POINT(-79.25083 43.81927),43.819,-79.251,0.099,4
POINT(-79.49134 43.72471),43.725,-79.491,0.005,4
POINT(-79.48712 43.65586),43.656,-79.487,0.015,5
POINT(-79.5443 43.77057),43.771,-79.544,0.005,5
POINT(-79.25335 43.77701),43.777,-79.253,0.015,6
POINT(-79.34704 43.75554),43.756,-79.347,0.006,7
POINT(-79.30565 43.79893),43.799,-79.306,0.014,8
POINT(-79.19455 43.76198),43.762,-79.195,0.015,8
POINT(-79.28157 43.76761),43.768,-79.282,0.007,8
POINT(-79.45756 43.64826),43.648,-79.458,0.022,9
POINT(-79.15139 43.79581),43.796,-79.151,0.003,9
POINT(-79.60204 43.69715),43.697,-79.602,0.004,10
POINT(-79.54815 43.70024),43.7,-79.548,0.016,11
POINT(-79.47721 43.63047),43.63,-79.477,0.006,11
POINT(-79.43352 43.66955),43.67,-79.434,0.017,12
POINT(-79.48295 43.73059),43.731,-79.483,0.014,12
POINT(-79.32354 43.76794),43.768,-79.324,0.006,12
POINT(-79.34392 43.65217),43.652,-79.344,0.01,12
POINT(-79.33119 43.65788),43.658,-79.331,0.024,14
POINT(-79.40002 43.65785),43.658,-79.4,0.012,15
POINT(-79.39447 43.64392),43.644,-79.394,0.019,15
POINT(-79.48569 43.74169),43.742,-79.486,0.023,15
POINT(-79.25515 43.78256),43.783,-79.255,0.011,16
POINT(-79.49382 43.70511),43.705,-79.494,0.012,17
POINT(-79.52707 43.62149),43.621,-79.527,0.021,18
POINT(-79.34431 43.79762),43.798,-79.344,0.004,18
POINT(-79.43291 43.73298),43.733,-79.433,0.065,22
POINT(-79.37712 43.64786),43.648,-79.377,0.017,22
POINT(-79.4414 43.71668),43.717,-79.441,0.025,24
POINT(-79.52478 43.72899),43.729,-79.525,0.005,28
POINT(-79.42869 43.6424),43.642,-79.429,0.048,28
POINT(-79.29168 43.80243),43.802,-79.292,0.795,126
POINT(-79.42498 43.74117),43.741,-79.425,0.089,1490
POINT(-79.33185 43.73592),43.736,-79.332,0.009,33
POINT(-79.60533 43.69713),43.697,-79.605,0.01,45
POINT(-79.35201 43.71632),43.716,-79.352,0.087,89
POINT(-79.37704 43.64242),43.642,-79.377,0.017,29
POINT(-79.55408 43.70841),43.708,-79.554,0.009,203
POINT(-79.34655 43.80852),43.809,-79.347,0.001,3
POINT(-79.32053 43.74115),43.741,-79.321,0.006,3
POINT(-79.50092 43.69138),43.691,-79.501,0.012,3
POINT(-79.4334 43.67448),43.674,-79.433,0.004,3
POINT(-79.50745 43.6077),43.608,-79.507,0.014,3
POINT(-79.38788 43.76206),43.762,-79.388,0.002,3
POINT(-79.47466 43.6894),43.689,-79.475,0.009,3
POINT(-79.34412 43.70726),43.707,-79.344,0.005,3
POINT(-79.35747 43.65196),43.652,-79.357,0.005,3
POINT(-79.61964 43.73013),43.73,-79.62,0.017,3
POINT(-79.43232 43.73028),43.73,-79.432,0.008,3
POINT(-79.33701 43.79366),43.794,-79.337,0.004,3
POINT(-79.39351 43.79203),43.792,-79.394,0.008,3
POINT(-79.61775 43.7359),43.736,-79.618,0.003,3
POINT(-79.28914 43.78516),43.785,-79.289,0.006,3
POINT(-79.39927 43.7111),43.711,-79.399,0.008,3
POINT(-79.3582 43.67082),43.671,-79.358,0.001,3
POINT(-79.44331 43.63948),43.639,-79.443,0.008,3
POINT(-79.41276 43.76885),43.769,-79.413,0.003,3
POINT(-79.5048 43.60099),43.601,-79.505,0.008,3
POINT(-79.54697 43.72207),43.722,-79.547,0.006,4
POINT(-79.38225 43.64974),43.65,-79.382,0.008,4
POINT(-79.35403 43.65856),43.659,-79.354,0.002,5
POINT(-79.40248 43.64286),43.643,-79.402,0.013,5
POINT(-79.21736 43.79324),43.793,-79.217,0.001,5
POINT(-79.52537 43.77465),43.775,-79.525,0.006,5
POINT(-79.44525 43.75416),43.754,-79.445,0.017,5
POINT(-79.32069 43.80617),43.806,-79.321,0.009,5
POINT(-79.59271 43.71114),43.711,-79.593,0.011,6
POINT(-79.41755 43.68125),43.681,-79.418,0.007,6
POINT(-79.43486 43.71812),43.718,-79.435,0.007,6
POINT(-79.36866 43.65198),43.652,-79.369,0.006,6
POINT(-79.54611 43.76864),43.769,-79.546,0.013,7
POINT(-79.35942 43.7142),43.714,-79.359,0.015,7
POINT(-79.47449 43.67937),43.679,-79.474,0.012,7
POINT(-79.3067 43.74284),43.743,-79.307,0.007,7
POINT(-79.47342 43.75548),43.755,-79.473,0.004,7
POINT(-79.3236 43.76844),43.768,-79.324,0.003,7
POINT(-79.38692 43.76214),43.762,-79.387,0.007,8
POINT(-79.42782 43.63312),43.633,-79.428,0.002,8
POINT(-79.52806 43.75498),43.755,-79.528,0.014,9
POINT(-79.4896 43.62903),43.629,-79.49,0.008,10
POINT(-79.43086 43.72469),43.725,-79.431,0.02,10
POINT(-79.329 43.77484),43.775,-79.329,0.028,12
POINT(-79.37427 43.65727),43.657,-79.374,0.011,12
POINT(-79.2728 43.74399),43.744,-79.273,0.148,12
POINT(-79.41247 43.76723),43.767,-79.412,0.025,13
POINT(-79.62652 43.73155),43.732,-79.627,0.003,13
POINT(-79.55538 43.61468),43.615,-79.555,0.015,13
POINT(-79.42656 43.70599),43.706,-79.427,0.015,14
POINT(-79.56405 43.64784),43.648,-79.564,0.002,15
POINT(-79.19874 43.80027),43.8,-79.199,0.014,15
POINT(-79.23152 43.7767),43.777,-79.232,0.015,17
POINT(-79.53977 43.74026),43.74,-79.54,0.03,17
POINT(-79.488 43.70622),43.706,-79.488,0.024,17
POINT(-79.45416 43.63978),43.64,-79.454,0.023,20
POINT(-79.30126 43.76351),43.764,-79.301,0.016,21
POINT(-79.51686 43.7167),43.717,-79.517,0.002,21
POINT(-79.47049 43.72534),43.725,-79.47,0.002,23
POINT(-79.29138 43.73706),43.737,-79.291,0.09,26
POINT(-79.26294 43.77978),43.78,-79.263,0.003,27
POINT(-79.46659 43.76732),43.767,-79.467,0.029,28
POINT(-79.53358 43.7348),43.735,-79.534,0.066,46
POINT(-79.55251 43.70935),43.709,-79.553,0.004,114
POINT(-79.52974 43.61739),43.617,-79.53,0.055,469
POINT(-79.38503 43.76362),43.764,-79.385,0.004,46
POINT(-79.58438 43.71023),43.71,-79.584,1.753,50
POINT(-79.38915 43.63925),43.639,-79.389,0.008,44
POINT(-79.55484 43.6229),43.623,-79.555,0.009,43
POINT(-79.41643 43.74786),43.748,-79.416,0.008,107
POINT(-79.25321 43.7264),43.726,-79.253,0.077,31
POINT(-79.48446 43.62466),43.625,-79.484,0.006,3
POINT(-79.22491 43.7595),43.76,-79.225,0.005,3
POINT(-79.5195 43.61658),43.617,-79.519,0.003,3
POINT(-79.39454 43.79618),43.796,-79.395,0.016,3
POINT(-79.57622 43.71264),43.713,-79.576,0.008,3
POINT(-79.40295 43.67661),43.677,-79.403,0.003,3
POINT(-79.49479 43.72013),43.72,-79.495,0.002,3
POINT(-79.40104 43.7193),43.719,-79.401,0.009,3
POINT(-79.38221 43.66852),43.669,-79.382,0.006,3
POINT(-79.39769 43.70524),43.705,-79.398,0.006,3
POINT(-79.3422 43.65308),43.653,-79.342,0.002,3
POINT(-79.1711 43.8082),43.808,-79.171,0.004,3
POINT(-79.3752 43.65098),43.651,-79.375,0.004,3
POINT(-79.43543 43.74294),43.743,-79.435,0.029,3
POINT(-79.40293 43.66693),43.667,-79.403,0.005,4
POINT(-79.38884 43.77022),43.77,-79.389,0.005,4
POINT(-79.28414 43.71935),43.719,-79.284,0.022,4
POINT(-79.36436 43.77151),43.772,-79.364,0.005,4
POINT(-79.40244 43.75765),43.758,-79.402,0.003,4
POINT(-79.42529 43.66197),43.662,-79.425,0.014,4
POINT(-79.2427 43.82495),43.825,-79.243,0.013,4
POINT(-79.41695 43.67977),43.68,-79.417,0.01,5
POINT(-79.27084 43.7595),43.76,-79.271,0.01,5
POINT(-79.60488 43.74376),43.744,-79.605,0.021,6
POINT(-79.5031 43.66417),43.664,-79.503,0.007,6
POINT(-79.24602 43.75789),43.758,-79.246,0.013,6
POINT(-79.5621 43.62734),43.627,-79.562,0.006,6
POINT(-79.36058 43.65236),43.652,-79.361,0.008,7
POINT(-79.14386 43.79779),43.798,-79.144,0.001,7
POINT(-79.55386 43.61943),43.619,-79.554,0.006,7
POINT(-79.38564 43.66742),43.667,-79.386,0.062,8
POINT(-79.33825 43.75772),43.758,-79.338,0.017,9
POINT(-79.51304 43.75811),43.758,-79.513,0.014,9
