,Location,Latitude,Longitude,SeverityScore,IncidentsTotal
1781,POINT(-79.27338 43.69361),43.694,-79.273,0.054,31
1810,POINT(-79.40687 43.69906),43.699,-79.407,0.043,10
1811,POINT(-79.5124 43.73684),43.737,-79.512,0.065,11
1812,POINT(-79.57741 43.71277),43.713,-79.577,0.02,11
1813,POINT(-79.35788 43.79206),43.792,-79.358,0.038,12
1818,POINT(-79.54345 43.75753),43.758,-79.543,0.028,21
1821,POINT(-79.49987 43.68798),43.688,-79.5,0.093,38
1822,POINT(-79.40846 43.70459),43.705,-79.408,0.03,40
1825,POINT(-79.45485 43.71409),43.714,-79.455,0.023,40
1859,POINT(-79.2451 43.73006),43.73,-79.245,0.071,11
1865,POINT(-79.52373 43.77494),43.775,-79.524,0.029,13
1867,POINT(-79.48545 43.65176),43.652,-79.485,0.054,17
1871,POINT(-79.23846 43.79357),43.794,-79.238,0.03,130
1872,POINT(-79.36613 43.81),43.81,-79.366,0.088,48
1876,POINT(-79.42527 43.77763),43.778,-79.425,0.106,36
1877,POINT(-79.49262 43.77022),43.77,-79.493,0.119,133
1879,POINT(-79.53351 43.7539),43.754,-79.534,0.026,48
1907,POINT(-79.43015 43.72053),43.721,-79.43,0.043,10
1912,POINT(-79.38098 43.67161),43.672,-79.381,0.024,14
1913,POINT(-79.55819 43.76342),43.763,-79.558,0.033,16
1914,POINT(-79.50073 43.69075),43.691,-79.501,0.031,18
1915,POINT(-79.40589 43.69857),43.699,-79.406,0.041,18
1917,POINT(-79.43064 43.72354),43.724,-79.431,0.051,19
1919,POINT(-79.39606 43.64797),43.648,-79.396,0.023,26
1925,POINT(-79.53028 43.61728),43.617,-79.53,0.081,341
1926,POINT(-79.34917 43.65373),43.654,-79.349,0.063,109
1927,POINT(-79.35004 43.71963),43.72,-79.35,0.179,54
1928,POINT(-79.4936 43.67139),43.671,-79.494,0.086,48
1930,POINT(-79.19941 43.75682),43.757,-79.199,0.088,30
1932,POINT(-79.29151 43.79057),43.791,-79.292,0.101,48
1933,POINT(-79.4865 43.74447),43.744,-79.486,0.031,74
1934,POINT(-79.59776 43.69169),43.692,-79.598,0.049,30
1935,POINT(-79.55286 43.70896),43.709,-79.553,0.028,455
1962,POINT(-79.26822 43.70705),43.707,-79.268,0.023,10
1963,POINT(-79.60091 43.69884),43.699,-79.601,0.067,10
1965,POINT(-79.42056 43.73759),43.738,-79.421,0.026,13
1969,POINT(-79.38615 43.75777),43.758,-79.386,0.026,16
1972,POINT(-79.40424 43.64781),43.648,-79.404,0.023,17
1973,POINT(-79.42383 43.72056),43.721,-79.424,0.045,17
1976,POINT(-79.50743 43.66186),43.662,-79.507,0.047,20
1978,POINT(-79.31412 43.7189),43.719,-79.314,0.052,41
1979,POINT(-79.39325 43.64091),43.641,-79.393,0.022,66
1980,POINT(-79.53738 43.7207),43.721,-79.537,0.056,38
1982,POINT(-79.27762 43.77066),43.771,-79.278,0.071,74
1983,POINT(-79.45213 43.70282),43.703,-79.452,0.138,134
1985,POINT(-79.58019 43.71252),43.713,-79.58,0.048,31
1986,POINT(-79.32576 43.72434),43.724,-79.326,0.035,47
1990,POINT(-79.52653 43.6205),43.621,-79.527,0.052,146
2018,POINT(-79.20753 43.80868),43.809,-79.208,0.405,10
2021,POINT(-79.36602 43.79024),43.79,-79.366,0.035,13
2023,POINT(-79.37941 43.64562),43.646,-79.379,0.024,15
2024,POINT(-79.34113 43.65788),43.658,-79.341,0.022,17
2025,POINT(-79.37185 43.6507),43.651,-79.372,0.022,17
2027,POINT(-79.52537 43.64913),43.649,-79.525,0.026,18
2032,POINT(-79.22022 43.73584),43.736,-79.22,0.056,27
2034,POINT(-79.41541 43.77975),43.78,-79.415,0.023,40
2035,POINT(-79.62173 43.74681),43.747,-79.622,0.028,41
2036,POINT(-79.2453 43.755),43.755,-79.245,0.023,30
2037,POINT(-79.50858 43.72071),43.721,-79.509,0.041,91
2038,POINT(-79.52931 43.75481),43.755,-79.529,0.028,38
2040,POINT(-79.27099 43.69498),43.695,-79.271,0.156,39
2041,POINT(-79.46506 43.76061),43.761,-79.465,0.053,67
2042,POINT(-79.538 43.77207),43.772,-79.538,0.025,38
2043,POINT(-79.53801 43.73317),43.733,-79.538,0.034,38
2044,POINT(-79.54351 43.71927),43.719,-79.544,0.255,167
2086,POINT(-79.55138 43.61016),43.61,-79.551,0.022,10
2087,POINT(-79.26392 43.77708),43.777,-79.264,0.036,11
2088,POINT(-79.30148 43.8114),43.811,-79.301,0.032,12
2093,POINT(-79.44068 43.76512),43.765,-79.441,0.086,17
2097,POINT(-79.58176 43.74305),43.743,-79.582,0.022,20
2098,POINT(-79.28069 43.76478),43.765,-79.281,0.023,21
2100,POINT(-79.43009 43.71926),43.719,-79.43,0.031,52
2102,POINT(-79.55452 43.62288),43.623,-79.555,0.037,457
2103,POINT(-79.33658 43.76224),43.762,-79.337,0.028,190
2104,POINT(-79.46756 43.67254),43.673,-79.468,0.023,39
2110,POINT(-79.33065 43.75997),43.76,-79.331,0.163,85
